Rank,Restaurant,Sales,City,State
230,Houlihan's,143,NA,NA
231,Old Country Buffet/HomeTown Buffet,142,NA,NA
232,Great American Cookies,142,NA,NA
233,Nobu,139,NA,NA
234,BurgerFi,138,NA,NA
235,Mission BBQ,136,NA,NA
236,Walk-On's Sports Bistreaux,133,NA,NA
237,The Coffee Bean & Tea Leaf,133,NA,NA
238,Yogurtland,132,NA,NA
239,Daylight Donuts,132,NA,NA
240,WaBa Grill,132,NA,NA
241,54th Street Restaurant & Drafthouse,131,NA,NA
242,Biggby Coffee,129,NA,NA
243,Costa Vida Fresh Mexican Grill,129,NA,NA
244,L&L Hawaiian Barbecue,129,NA,NA
245,Gyu-Kaku,129,NA,NA
246,Rainforest Cafe,129,NA,NA
247,PDQ,127,NA,NA
248,Lupe Tortilla,127,NA,NA
249,Cook-Out Restaurant,126,NA,NA
250,Jollibee,126,NA,NA
